fips_fixed,county_fips,2016,2020,state,state_po,county_name,fixed_fips,size,POP_ESTIMATE_2020,vote_diff_pct_pop,vote_diff_pct_pop_zscore,pct_change_16_20
10001,10001,33351.0,44552.0,DELAWARE,DE,KENT,10001,s,182315.0,0.06143762169870828,1.091109291671515,0.33585199844082636
10005,10005,39333.0,56682.0,DELAWARE,DE,SUSSEX,10005,s,238629.0,0.07270281482971475,1.5372150228460566,0.4410800091526199
01031,1031,4221.0,5076.0,ALABAMA,AL,COFFEE,01031,xs,53549.0,0.015966684718668883,-0.7095562941531689,0.2025586353944564
01043,1043,3798.0,4478.0,ALABAMA,AL,CULLMAN,01043,xs,88136.0,0.00771534900608151,-1.0363121791542746,0.1790416008425486
01045,1045,4413.0,5170.0,ALABAMA,AL,DALE,01045,xs,49257.0,0.015368374038207767,-0.7332496139633724,0.17153863584862905
01049,1049,3622.0,4281.0,ALABAMA,AL,DEKALB,01049,xs,71659.0,0.009196332630932611,-0.9776646908122175,0.18194367752622864
01095,1095,4917.0,5943.0,ALABAMA,AL,MARSHALL,01095,xs,97702.0,0.010501320341446439,-0.9259867044694704,0.20866381940207446
01107,1107,3972.0,4022.0,ALABAMA,AL,PICKENS,01107,xs,18969.0,0.002635879593020191,-1.237461009018143,0.012588116817723982
12015,12015,33445.0,42273.0,FLORIDA,FL,CHARLOTTE,12015,s,187995.0,0.04695869570999229,0.5177385744807006,0.26395574824338475
12027,12027,3781.0,4259.0,FLORIDA,FL,DESOTO,12027,xs,34086.0,0.014023352696121575,-0.7865129466269924,0.12642158159217143
12093,12093,3959.0,4390.0,FLORIDA,FL,OKEECHOBEE,12093,xs,39652.0,0.010869565217391304,-0.9114040739078596,0.10886587522101543
12099,12099,374673.0,433572.0,FLORIDA,FL,PALM BEACH,12099,xl,1494282.0,0.03941625476315715,0.21905517914968123,0.15720107934118555
12121,12121,3964.0,4485.0,FLORIDA,FL,SUWANNEE,12121,xs,43524.0,0.011970407131697454,-0.8678103350897085,0.1314328960645812
12129,12129,4348.0,5351.0,FLORIDA,FL,WAKULLA,12129,xs,33893.0,0.029593131325052372,-0.16994406949276022,0.23068077276908916
13021,13021,36787.0,43468.0,GEORGIA,GA,BIBB,13021,s,157035.0,0.04254465565001433,0.34294098819073904,0.18161306983445247
13033,13033,4731.0,5209.0,GEORGIA,GA,BURKE,13033,xs,24635.0,0.01940328800487112,-0.5734655583868742,0.10103572183470733
13057,13057,25231.0,42794.0,GEORGIA,GA,CHEROKEE,13057,s,268156.0,0.06549545786780829,1.2518010747728965,0.6960881455352543
13071,13071,3463.0,4187.0,GEORGIA,GA,COLQUITT,13071,xs,45891.0,0.0157765139134035,-0.7170871269710689,0.2090672827028588
13097,13097,31005.0,42809.0,GEORGIA,GA,DOUGLAS,13097,s,144648.0,0.08160499972346662,1.889744771328347,0.38071278825995813
13117,13117,23462.0,42203.0,GEORGIA,GA,FORSYTH,13117,s,252901.0,0.07410409606921285,1.5927062678391746,0.7987810075867361
13129,13129,3181.0,4384.0,GEORGIA,GA,GORDON,13129,xs,57722.0,0.020841273691140295,-0.5165208039977124,0.3781829613329142
13133,13133,3199.0,4088.0,GEORGIA,GA,GREENE,13133,xs,19028.0,0.04672062224090814,0.5083107788127575,0.2778993435448578
13145,13145,4086.0,5457.0,GEORGIA,GA,HARRIS,13145,xs,34898.0,0.03928591896383747,0.21389383425505265,0.33553597650513955
13163,13163,3821.0,4061.0,GEORGIA,GA,JEFFERSON,13163,xs,15676.0,0.015310028068384792,-0.7355601355164672,0.06281078251766559
13169,13169,3961.0,4888.0,GEORGIA,GA,JONES,13169,xs,28402.0,0.032638546581226675,-0.049344521505751034,0.23403181014895225
13177,13177,3170.0,4558.0,GEORGIA,GA,LEE,13177,xs,33222.0,0.04177954367587743,0.31264227669210704,0.43785488958990526
13189,13189,3699.0,4168.0,GEORGIA,GA,MCDUFFIE,13189,xs,21607.0,0.021705928634238904,-0.4822801548478097,0.12679102460124358
13199,13199,3804.0,4287.0,GEORGIA,GA,MERIWETHER,13199,xs,20617.0,0.023427268758791288,-0.4141144619978629,0.12697160883280767
13207,13207,3571.0,4384.0,GEORGIA,GA,MONROE,13207,xs,28057.0,0.02897672595074313,-0.19435394573795997,0.2276673200784094
13215,13215,39851.0,49529.0,GEORGIA,GA,MUSCOGEE,13215,s,207006.0,0.04675226805020145,0.509563964331126,0.24285463350982406
13245,13245,48814.0,59124.0,GEORGIA,GA,RICHMOND,13245,s,206524.0,0.04992155875346207,0.6350690249227006,0.2112098987995248
13277,13277,4347.0,5322.0,GEORGIA,GA,TIFT,13277,xs,41387.0,0.023558122115640175,-0.4089326216374836,0.22429261559696334
13293,13293,3475.0,4201.0,GEORGIA,GA,UPSON,13293,xs,27745.0,0.026166876914759416,-0.30562498602198956,0.20892086330935244
13295,13295,4215.0,5769.0,GEORGIA,GA,WALKER,13295,xs,67738.0,0.022941332782190203,-0.43335770280382624,0.36868327402135237
13299,13299,3440.0,4211.0,GEORGIA,GA,WARE,13299,xs,36229.0,0.021281293991001683,-0.4990958406332567,0.22412790697674412
15001,15001,41259.0,58731.0,HAWAII,HI,HAWAII,15001,s,200744.0,0.08703622524209939,2.1048232704705123,0.42347124263796987
15009,15009,33480.0,47305.0,HAWAII,HI,MAUI,15009,s,164768.0,0.08390585550592349,1.9808594942828028,0.4129330943847074
16003,16003,415.0,591.0,IDAHO,ID,ADAMS,16003,xs,4428.0,0.03974706413730804,0.2321553502713625,0.42409638554216866
16011,16011,2924.0,4124.0,IDAHO,ID,BINGHAM,16011,xs,48097.0,0.02494958105495145,-0.35383034329195917,0.41039671682626544
16029,16029,271.0,431.0,IDAHO,ID,CARIBOU,16029,xs,7013.0,0.02281477256523599,-0.43836953326828304,0.5904059040590406
16063,16063,360.0,414.0,IDAHO,ID,LINCOLN,16063,xs,5134.0,0.010518114530580444,-0.925321648492535,0.1499999999999999
17021,17021,3992.0,4335.0,ILLINOIS,IL,CHRISTIAN,17021,xs,33960.0,0.010100117785630153,-0.941874471099844,0.08592184368737477
17027,17027,3945.0,4493.0,ILLINOIS,IL,CLINTON,17027,xs,36901.0,0.014850546055662448,-0.7537557897643176,0.13891001267427128
17085,17085,4462.0,5109.0,ILLINOIS,IL,JO DAVIESS,17085,xs,22057.0,0.02933309153556694,-0.18024173941051586,0.1450022411474674
17109,17109,5288.0,4992.0,ILLINOIS,IL,MCDONOUGH,17109,xs,27100.0,-0.01092250922509225,-1.7743781205947635,-0.055975794251134636
17113,17113,36196.0,43933.0,ILLINOIS,IL,MCLEAN,17113,s,170949.0,0.04525911236684625,0.4504344580604174,0.21375290087302456
17137,17137,4696.0,5076.0,ILLINOIS,IL,MORGAN,17137,xs,32845.0,0.011569493073527172,-0.8836866771087314,0.08091993185689939
17143,17143,38060.0,43578.0,ILLINOIS,IL,PEORIA,17143,s,181319.0,0.030432552573089418,-0.13670268381351125,0.14498160798738824
17151,17151,375.0,433.0,ILLINOIS,IL,POPE,17151,xs,3754.0,0.015450186467767715,-0.7300098120990305,0.15466666666666673
18017,18017,3759.0,4304.0,INDIANA,IN,CASS,18017,xs,37786.0,0.014423331392579262,-0.7706736452708198,0.14498536844905563
18029,18029,4883.0,5446.0,INDIANA,IN,DEARBORN,18029,xs,50750.0,0.0110935960591133,-0.9025323713733545,0.11529797255785379
18033,18033,3942.0,4966.0,INDIANA,IN,DEKALB,18033,xs,43292.0,0.0236533308694447,-0.4051623204774191,0.2597666159309995
18051,18051,3721.0,4023.0,INDIANA,IN,GIBSON,18051,xs,33049.0,0.00913794668522497,-0.979976795424835,0.08116097823165824
18061,18061,4783.0,5343.0,INDIANA,IN,HARRISON,18061,xs,39676.0,0.014114326040931546,-0.7829103691982803,0.11708132970938734
18069,18069,3506.0,4255.0,INDIANA,IN,HUNTINGTON,18069,xs,36646.0,0.020438792774109045,-0.532459194195554,0.21363377067883627
18071,18071,3843.0,4302.0,INDIANA,IN,JACKSON,18071,xs,46479.0,0.009875427612470148,-0.9507722833982757,0.11943793911007017
18083,18083,3772.0,4067.0,INDIANA,IN,KNOX,18083,xs,36256.0,0.008136584289496911,-1.019631109249905,0.07820784729586427
18099,18099,4798.0,5712.0,INDIANA,IN,MARSHALL,18099,xs,46071.0,0.019838944238240976,-0.5562134136372845,0.19049604001667353
18107,18107,3362.0,4213.0,INDIANA,IN,MONTGOMERY,18107,xs,37935.0,0.02243310926584948,-0.45348353826183035,0.25312314098750743
18113,18113,3904.0,4660.0,INDIANA,IN,NOBLE,18113,xs,47460.0,0.01592920353982301,-0.7110405624209095,0.19364754098360648
18145,18145,4247.0,5023.0,INDIANA,IN,SHELBY,18145,xs,45060.0,0.017221482467820685,-0.6598658484722326,0.18271721214975267
18151,18151,3744.0,4513.0,INDIANA,IN,STEUBEN,18151,xs,34441.0,0.022328039255538456,-0.4576443487538675,0.2053952991452992
18183,18183,3379.0,4234.0,INDIANA,IN,WHITLEY,18183,xs,34329.0,0.024906056104168486,-0.35555394711903676,0.2530334418467002
19011,19011,4678.0,5160.0,IOWA,IA,BENTON,19011,xs,25549.0,0.01886570902970762,-0.5947538806544523,0.10303548525010697
19019,19019,3970.0,4169.0,IOWA,IA,BUCHANAN,19019,xs,20605.0,0.009657850036398932,-0.9593884342739566,0.05012594458438291
19031,19031,3599.0,4337.0,IOWA,IA,CEDAR,19031,xs,18495.0,0.03990267639902676,0.23831765223871038,0.2050569602667407
19097,19097,3837.0,4029.0,IOWA,IA,JACKSON,19097,xs,19455.0,0.009868928296067848,-0.9510296586835518,0.05003909304143872
19101,19101,3710.0,4319.0,IOWA,IA,JEFFERSON,19101,xs,15694.0,0.038804638715432646,0.1948349619731784,0.1641509433962265
19105,19105,3787.0,4213.0,IOWA,IA,JONES,19105,xs,20653.0,0.02062654335931826,-0.5250242029691122,0.11249009770266705
19183,19183,3943.0,4561.0,IOWA,IA,WASHINGTON,19183,xs,22542.0,0.027415491083311153,-0.2561794123741191,0.15673345168653308
20035,20035,3551.0,4273.0,KANSAS,KS,COWLEY,20035,xs,34534.0,0.020906932298604273,-0.5139206993434922,0.20332300760349198
02004,2004,4162.0,5345.0,,,,,,,,,0.2842383469485825
20045,20045,31195.0,40785.0,KANSAS,KS,DOUGLAS,20045,s,118784.0,0.08073477909482758,1.8552837190137028,0.3074210610674788
02005,2005,3187.0,4204.0,,,,,,,,,0.31910887982428626
20055,20055,3195.0,4325.0,KANSAS,KS,FINNEY,20055,xs,38304.0,0.029500835421888052,-0.17359902071167957,0.3536776212832551
20067,20067,441.0,518.0,KANSAS,KS,GRANT,20067,xs,7326.0,0.010510510510510511,-0.9256227704434606,0.17460317460317465
20073,20073,485.0,569.0,KANSAS,KS,GREENWOOD,20073,xs,5977.0,0.014053873180525348,-0.7853043243821353,0.17319587628865984
20077,20077,393.0,461.0,KANSAS,KS,HARPER,20077,xs,5472.0,0.012426900584795321,-0.849733028886222,0.17302798982188294
20113,20113,3226.0,4134.0,KANSAS,KS,MCPHERSON,20113,xs,30184.0,0.03008216273522396,-0.15057824839543277,0.28146311221326714
20121,20121,3991.0,5247.0,KANSAS,KS,MIAMI,20121,xs,34224.0,0.036699392239364186,0.1114664384523358,0.31470809320972193
20123,20123,477.0,558.0,KANSAS,KS,MITCHELL,20123,xs,5773.0,0.014030833188983198,-0.7862167163982895,0.16981132075471694
02014,2014,3043.0,4261.0,,,,,,,,,0.40026289845547147
20143,20143,424.0,506.0,KANSAS,KS,OTTAWA,20143,xs,5729.0,0.014313143655088147,-0.775037119614162,0.19339622641509435
20157,20157,375.0,424.0,KANSAS,KS,REPUBLIC,20157,xs,4664.0,0.010506003430531732,-0.9258012524442584,0.1306666666666667
02016,2016,3294.0,4274.0,ALASKA,AK,DISTRICT 16,02016,xs,5214.0,0.18795550441120062,6.101263304811697,0.2975106253794779
02017,2017,3290.0,4136.0,,,,,,,,,0.2571428571428571
20177,20177,33926.0,43015.0,KANSAS,KS,SHAWNEE,20177,s,178709.0,0.050859218058407804,0.6722006732629415,0.26790662029122214
02018,2018,3909.0,4681.0,,,,,,,,,0.19749296495267332
20201,20201,387.0,475.0,KANSAS,KS,WASHINGTON,20201,xs,5530.0,0.015913200723327307,-0.711674279754527,0.227390180878553
02021,2021,4224.0,5414.0,,,,,,,,,0.28172348484848486
02022,2022,3270.0,4553.0,,,,,,,,,0.392354740061162
02024,2024,3578.0,4736.0,,,,,,,,,0.32364449413079943
02025,2025,3378.0,4600.0,,,,,,,,,0.3617525162818236
02026,2026,3374.0,4558.0,,,,,,,,,0.35091879075281573
02027,2027,3729.0,4844.0,,,,,,,,,0.299007776883883
02031,2031,3466.0,5037.0,,,,,,,,,0.45326024235429885
02034,2034,4220.0,5763.0,,,,,,,,,0.36563981042654037
02035,2035,3749.0,5011.0,,,,,,,,,0.33662309949319824
21009,21009,4275.0,5127.0,KENTUCKY,KY,BARREN,21009,xs,44505.0,0.01914391641388608,-0.5837367674018188,0.19929824561403509
21021,21021,4281.0,5298.0,KENTUCKY,KY,BOYLE,21021,xs,30753.0,0.03306994439566872,-0.032261011689211194,0.23756131744919418
21035,21035,4749.0,5794.0,KENTUCKY,KY,CALLOWAY,21035,xs,37596.0,0.027795510160655387,-0.24113051916941133,0.22004632554221937
21057,21057,459.0,508.0,KENTUCKY,KY,CUMBERLAND,21057,xs,5856.0,0.008367486338797815,-1.0104873044047344,0.10675381263616557
21107,21107,4310.0,5439.0,KENTUCKY,KY,HOPKINS,21107,xs,45369.0,0.024884833256188146,-0.3563943795915007,0.2619489559164734
21125,21125,3440.0,4474.0,KENTUCKY,KY,LAUREL,21125,xs,62727.0,0.016484129641143368,-0.6890652876698731,0.3005813953488372
21157,21157,3672.0,4071.0,KENTUCKY,KY,MARSHALL,21157,xs,31691.0,0.012590325328957748,-0.8432613497823878,0.1086601307189543
21159,21159,363.0,403.0,KENTUCKY,KY,MARTIN,21159,xs,11253.0,0.003554607660179508,-1.2010790445560686,0.11019283746556474
21199,21199,4208.0,5664.0,KENTUCKY,KY,PULASKI,21199,xs,65116.0,0.022360095828982123,-0.45637489682625904,0.3460076045627376
22009,22009,5035.0,4979.0,LOUISIANA,LA,AVOYELLES,22009,xs,39646.0,-0.0014125006305806386,-1.3977783332503506,-0.011122144985104221
22067,22067,5155.0,4946.0,LOUISIANA,LA,MOREHOUSE,22067,xs,25465.0,-0.008207343412526998,-1.6668565702770262,-0.04054316197866148
22113,22113,4857.0,5009.0,LOUISIANA,LA,VERMILION,22113,xs,56956.0,0.00266872673642812,-1.2361602502333995,0.03129503808935552
24011,24011,4009.0,5095.0,MARYLAND,MD,CAROLINE,24011,xs,33270.0,0.03264201983769161,-0.04920697929082153,0.270890496383138
24029,24029,4575.0,5329.0,MARYLAND,MD,KENT,24029,xs,19120.0,0.039435146443514646,0.21980329653932443,0.16480874316939897
24031,24031,357837.0,419569.0,MARYLAND,MD,MONTGOMERY,24031,l,1060904.0,0.058188111271142345,0.962427500920975,0.17251430120417965
25003,25003,43714.0,51705.0,MASSACHUSETTS,MA,BERKSHIRE,25003,s,128619.0,0.06212923440549219,1.1184974055423933,0.182801848378094
25019,25019,4146.0,5241.0,MASSACHUSETTS,MA,NANTUCKET,25019,xs,14237.0,0.0769122708435766,1.7039110067562002,0.26410998552822007
26009,26009,4448.0,5960.0,MICHIGAN,MI,ANTRIM,26009,xs,23458.0,0.06445562281524427,1.2106232297923063,0.33992805755395694
26019,26019,4108.0,5480.0,MICHIGAN,MI,BENZIE,26019,xs,17990.0,0.07626459143968872,1.6782626676040884,0.33398247322297947
26031,26031,4302.0,5437.0,MICHIGAN,MI,CHEBOYGAN,26031,xs,25587.0,0.04435846328213546,0.4147684278562204,0.2638307763830776
26035,26035,4249.0,5199.0,MICHIGAN,MI,CLARE,26035,xs,30843.0,0.030801154232727036,-0.1221059244883475,0.22358201929865862
26043,26043,3923.0,4744.0,MICHIGAN,MI,DICKINSON,26043,xs,25904.0,0.031693946880790615,-0.08675101202302751,0.20927861330614328
26051,26051,3794.0,4524.0,MICHIGAN,MI,GLADWIN,26051,xs,25378.0,0.028765072109701317,-0.20273551455935682,0.19240906694781224
26059,26059,4799.0,5883.0,MICHIGAN,MI,HILLSDALE,26059,xs,45731.0,0.023703833285954823,-0.40316240647849094,0.22588039174828078
26063,26063,4579.0,5490.0,MICHIGAN,MI,HURON,26063,xs,31364.0,0.029046040045912512,-0.19160908244563601,0.1989517361869404
26069,26069,4345.0,5373.0,MICHIGAN,MI,IOSCO,26069,xs,25184.0,0.04081956797966963,0.2746268911690796,0.23659378596087466
26093,26093,34384.0,48220.0,MICHIGAN,MI,LIVINGSTON,26093,s,193968.0,0.07133135362534027,1.4829046620524167,0.40239646347138214
26109,26109,3539.0,4316.0,MICHIGAN,MI,MENOMINEE,26109,xs,23451.0,0.03313291544070615,-0.029767335481217086,0.2195535461994913
26121,26121,37304.0,45643.0,MICHIGAN,MI,MUSKEGON,26121,s,174784.0,0.047710316733797144,0.5475030394562482,0.22354171134462786
26125,26125,343070.0,434148.0,MICHIGAN,MI,OAKLAND,26125,xl,1272493.0,0.07157446052748424,1.4925317834939493,0.2654793482379689
26127,26127,3973.0,4944.0,MICHIGAN,MI,OCEANA,26127,xs,26712.0,0.036350703803533994,0.09765825000770173,0.2443996979612384
26137,26137,3556.0,4743.0,MICHIGAN,MI,OTSEGO,26137,xs,25133.0,0.04722874308677834,0.528432548482915,0.3338020247469067
26143,26143,4287.0,5166.0,MICHIGAN,MI,ROSCOMMON,26143,xs,23472.0,0.03744887525562372,0.14114623755414576,0.20503848845346395
26145,26145,44396.0,51088.0,MICHIGAN,MI,SAGINAW,26145,s,189882.0,0.035242940352429405,0.05379041582354918,0.1507343003874222
26151,26151,4873.0,5966.0,MICHIGAN,MI,SANILAC,26151,xs,40499.0,0.026988320699276525,-0.2730955144142492,0.2242971475477118
26165,26165,4436.0,5838.0,MICHIGAN,MI,WEXFORD,26165,xs,33693.0,0.04161101712521889,0.30596856420182367,0.3160504959422903
27015,27015,3763.0,4753.0,MINNESOTA,MN,BROWN,27015,xs,25914.0,0.038203287798101414,0.17102124768095278,0.26308796173266
27039,27039,3102.0,4079.0,MINNESOTA,MN,DODGE,27039,xs,20889.0,0.046771027813681844,0.5103068577646216,0.31495809155383614
27045,27045,3872.0,4551.0,MINNESOTA,MN,FILLMORE,27045,xs,21243.0,0.0319634703196347,-0.0760777861532216,0.17536157024793386
27053,27053,429288.0,532623.0,MINNESOTA,MN,HENNEPIN,27053,xl,1281649.0,0.08062659901423869,1.8509997486113845,0.2407125286520937
27057,27057,3423.0,4462.0,MINNESOTA,MN,HUBBARD,27057,xs,21397.0,0.04855820909473291,0.5810798842767296,0.3035349108968741
27079,27079,4623.0,5672.0,MINNESOTA,MN,LE SUEUR,27079,xs,28637.0,0.03663093201103468,0.10875538859636387,0.2269089335929051
