party,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,LIBERTARIAN,LIBERTARIAN,LIBERTARIAN,LIBERTARIAN,LIBERTARIAN,LIBERTARIAN,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,MARGIN,MARGIN,MARGIN,MARGIN,MARGIN,MARGIN,benford_expected
year,2000,2004,2008,2012,2016,2020,2000,2004,2008,2012,2016,2020,2000,2004,2008,2012,2016,2020,2000,2004,2008,2012,2016,2020,2000,2004,2008,2012,2016,2020,2000,2004,2008,2012,2016,2020,2000,2004,2008,2012,2016,2020,
digits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.28616751269035534,0.2837666455294864,0.2844007609384908,0.28852251109701965,0.2993024730500951,0.29454660748256184,0.3010079944386514,,,,,0.3155761436016213,,,,,,0.2929765886287625,0.28435417327832435,0.28264408987300554,0.32042940793754066,0.3145921351966201,0.3002536461636018,0.29297205757832345,0.2817258883248731,0.2878883956880152,0.284717818642993,0.28820545339251746,0.29454660748256184,0.29518072289156627,0.28965736040609136,0.30405833861762843,0.30342422320862394,0.3027901077996195,0.3053265694356373,0.30596068484464173,0.25793147208121825,0.21940393151553583,0.24159797083069118,0.20291693088142043,0.12809131261889664,0.13950538998097653,0.3010299956639812
2.0,0.19321065989847716,0.18833227647431833,0.1876981610653139,0.18928344958782498,0.18325935320228282,0.18103994927076728,0.1710114702815433,,,,,0.17255356108859293,,,,,,0.18394648829431437,0.1900983814662012,0.16183653533051123,0.17631750162654522,0.16737081572960677,0.17913760304375395,0.17781541066892464,0.1805203045685279,0.16677235256816741,0.1683576410906785,0.1648700063411541,0.160431198478123,0.1636017755231452,0.157994923857868,0.160431198478123,0.16328471781864298,0.1636017755231452,0.15979708306911858,0.16708941027266963,0.22842639593908629,0.21433100824350032,0.20989220038046924,0.18325935320228282,0.14521242866201647,0.1357006975269499,0.17609125905568124
3.0,0.12658629441624367,0.12714013950539,0.13253012048192772,0.13157894736842105,0.13601775523145213,0.12840837032339886,0.12652068126520682,,,,,0.11580775911986103,,,,,,0.13210702341137123,0.12916534433513172,0.12862259850211658,0.12426805465191933,0.1270718232044199,0.12428662016487001,0.13293818797629128,0.14213197969543148,0.1322130627774255,0.12777425491439443,0.12777425491439443,0.12365250475586556,0.12016487000634116,0.12341370558375635,0.11382371591629677,0.10779961953075459,0.11255548509828789,0.1128725428027901,0.10811667723525682,0.16687817258883247,0.17533291058972733,0.1613823715916297,0.1746987951807229,0.15599239061509196,0.1471147748890298,0.12493873660829993
4.0,0.11008883248730965,0.10811667723525682,0.10526315789473684,0.09860494610019023,0.09575142675967026,0.11540900443880786,0.1032325338894682,,,,,0.09380428488708743,,,,,,0.09431438127090301,0.0952078705172961,0.10713122761315533,0.08945998698763825,0.09522261943451414,0.09289790741915029,0.09610499576629974,0.1024746192893401,0.10114140773620799,0.10589727330374128,0.10748256182625238,0.10240963855421686,0.0979708306911858,0.10279187817258884,0.10209258084971465,0.10367786937222574,0.09765377298668358,0.09923906150919468,0.10050729232720355,0.10723350253807107,0.1391883322764743,0.13348129359543437,0.15599239061509196,0.17184527584020293,0.16328471781864298,0.09691001300805642
5.0,0.08153553299492386,0.08845909955611922,0.07799619530754598,0.07736207989854153,0.06911857958148383,0.0653138871274572,0.08307264511644073,,,,,0.08164447017950202,,,,,,0.07725752508361204,0.08759124087591241,0.08857049820905243,0.07547169811320754,0.07149821254468638,0.08338617628408371,0.08975444538526672,0.07931472081218274,0.08560558021559923,0.08845909955611922,0.08782498414711477,0.09162967660114141,0.0849714648065948,0.08375634517766498,0.0818008877615726,0.07641090678503487,0.07704502219403932,0.07704502219403932,0.08148383005707038,0.08343908629441624,0.09987317691819911,0.09575142675967026,0.1144578313253012,0.18072289156626506,0.16265060240963855,0.07918124604762482
6.0,0.06345177664974619,0.06658211794546608,0.0653138871274572,0.0637285986049461,0.06309448319594166,0.06467977171845275,0.06360792492179354,,,,,0.06427330631152287,,,,,,0.06555183946488294,0.06251983497302444,0.07521979811136438,0.06733897202342225,0.06077348066298342,0.06341154090044387,0.06816257408975444,0.0717005076142132,0.06753329105897274,0.06816740646797717,0.07133798351299937,0.06848446417247939,0.07228915662650602,0.07138324873096447,0.06816740646797717,0.0719720989220038,0.06848446417247939,0.07133798351299937,0.05897273303741281,0.05710659898477157,0.0719720989220038,0.06119213696892835,0.07260621433100824,0.11731135066582118,0.13950538998097653,0.06694678963061322
7.0,0.04885786802030457,0.04850982878883957,0.060240963855421686,0.05072923272035511,0.06404565630944832,0.05421686746987952,0.054223149113660066,,,,,0.06601042269832079,,,,,,0.05551839464882943,0.058711520152332594,0.06414848583523282,0.05660377358490566,0.059798505037374064,0.05802155992390615,0.06054191363251482,0.04980964467005076,0.06563094483195941,0.057387444514901714,0.056119213696892836,0.05928979074191503,0.05928979074191503,0.06472081218274112,0.06341154090044387,0.06277742549143944,0.07641090678503487,0.06499682942295498,0.06119213696892835,0.03362944162436548,0.03329105897273304,0.03868103994927077,0.04819277108433735,0.06467977171845275,0.07577679137603044,0.05799194697768673
8.0,0.05456852791878172,0.046290424857324035,0.043436905516804056,0.04660748256182625,0.044705136334812934,0.05263157894736842,0.054223149113660066,,,,,0.04748118123914302,,,,,,0.04749163879598662,0.051094890510948905,0.04884402474763921,0.04521795705920625,0.05394865128371791,0.05168040583386176,0.04318374259102455,0.04949238578680203,0.04914394419784401,0.05358275206087508,0.05421686746987952,0.0554850982878884,0.0554850982878884,0.05964467005076142,0.055168040583386174,0.05992390615091947,0.05009511731135067,0.05897273303741281,0.06246036778693722,0.033312182741116754,0.024096385542168676,0.03329105897273304,0.027901077996195307,0.019340519974635383,0.02251109701965758,0.05115252244738129
9.0,0.03553299492385787,0.04280279010779962,0.04311984781230184,0.05358275206087508,0.044705136334812934,0.04375396322130628,0.04310045185957595,,,,,0.042848870874348584,,,,,,0.050836120401337795,0.041256743890828305,0.0429827417779225,0.044892648015614836,0.049723756906077346,0.046924540266328474,0.03852667231160034,0.04282994923857868,0.044071020925808495,0.045656309448319596,0.04216867469879518,0.044071020925808495,0.051046290424857324,0.04663705583756345,0.051046290424857324,0.05072923272035511,0.05136334812935954,0.050412175015852885,0.05421686746987952,0.032043147208121826,0.02251109701965758,0.024730500951173115,0.019974635383639822,0.016804058338617627,0.013950538998097653,0.04575749056067514
